HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome	Entrez Gene ID	RefSeq IDs
HGNC:5	A1BG	alpha-1-B glycoprotein			19q13.43	1	NM_130786
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	503538	NR_015380
HGNC:24086	A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	29974	NM_014576
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1					
HGNC:7	A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	12p13.31	2	NM_000014
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)			12p13.31	144571	NR_026971
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179, p170	12p13.31	144568	NM_144670
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1			12p13.31		
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2			12p13.31		
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		12p13.31	3	NG_001067
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1					
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1					
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S	1p35.1	127550	NM_001080438
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	A14GALT, Gb3S, P(k)	22q13.2	53947	NM_017436
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	3q22.3	51146	NM_016161
HGNC:1	A12M1~withdrawn	entry withdrawn					
HGNC:2	A12M2~withdrawn	entry withdrawn					
HGNC:3	A12M3~withdrawn	entry withdrawn					
HGNC:4	A12M4~withdrawn	entry withdrawn					
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1					
HGNC:13666	AAAS	aladin WD repeat nucleoporin			12q13.13	8086	
HGNC:12	AABT~withdrawn	entry withdrawn					
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1					
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2					
HGNC:21298	AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	12q24.31	65985	NM_023928
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		5q35.3	729522	NR_024035
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3					
HGNC:17	AADAC	arylacetamide deacetylase		DAC, CES5A1	3q25.1	13	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase like 2		MGC72001	3q25.1	344752	NM_207365
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1			3q25.1	101928142	
HGNC:32037	AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887	1p36.21	126767	NM_001103170
HGNC:32038	AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889	1p36.21	343066	NM_001013630
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1			3q25.1	201651	
HGNC:17929	AADAT	aminoadipate aminotransferase		KATII, KAT2, KYAT2	4q33	51166	NM_016228
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21		9q22.33	195827	NM_153698
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein		FLJ11506, p34	15q23	79719	NM_024666
